episode,reward,score,steps,epsilon,loss
2383,-9.7,0,47,0.4765,0.008741
2384,-9.81,0,37,0.4756,0.006778
2385,-9.7083,0,45,0.4746,0.00833
2386,-9.74,0,42,0.4736,0.007238
2387,-9.73,0,39,0.4726,0.006491
2388,-8.555,0,47,0.4715,0.005883
2389,-8.6658,0,47,0.4704,0.005498
2390,-9.6767,0,43,0.4694,0.008965
2391,-8.835,0,40,0.4685,0.006624
2392,-8.875,0,41,0.4675,0.006538
2393,-8.8542,0,43,0.4665,0.00667
2394,-8.8317,0,40,0.4656,0.00648
2395,-8.9517,0,37,0.4647,0.005791
2396,-9.75,0,40,0.4638,0.006331
2397,-9.73,0,41,0.4628,0.006838
2398,-8.8292,0,42,0.4619,0.00637
2399,-8.7883,0,47,0.4608,0.007713
2400,-9.77,0,42,0.4598,0.008456
2401,-8.9208,0,37,0.459,0.00783
2402,-9.7,0,42,0.458,0.007982
2403,-9.76,0,45,0.457,0.007108
2404,-9.71,0,44,0.456,0.007067
2405,-9.77,0,38,0.4551,0.006376
2406,-9.8,0,36,0.4543,0.005912
2407,-8.9358,0,36,0.4535,0.006636
2408,-9.72,0,40,0.4526,0.005871
2409,-9.2875,0,43,0.4516,0.004438
2410,-9.4492,0,40,0.4507,0.005904
2411,-9.7033,0,42,0.4497,0.00757
2412,-9.72,0,40,0.4488,0.006553
2413,-9.74,0,38,0.448,0.005683
2414,-8.9508,0,40,0.4471,0.006634
2415,-9.16,0,47,0.4461,0.005727
2416,-9.77,0,40,0.4452,0.005957
2417,-9.78,0,40,0.4443,0.005818
2418,-9.72,0,44,0.4433,0.006585
2419,-9.74,0,38,0.4425,0.005779
2420,-9.0683,0,47,0.4414,0.005352
2421,-9.69,0,41,0.4405,0.005132
2422,-8.4833,0,43,0.4396,0.005207
2423,-8.7258,0,42,0.4386,0.00673
2424,-9.6917,0,41,0.4377,0.004384
2425,-8.9158,0,41,0.4368,0.006409
2426,-8.8517,0,39,0.436,0.006387
2427,-9.7,0,40,0.4351,0.005021
2428,-8.8425,0,40,0.4343,0.006354
2429,-9.72,0,41,0.4334,0.006291
2430,-8.9275,0,46,0.4324,0.007522
2431,-8.6975,0,40,0.4315,0.005308
2432,-8.9183,0,37,0.4307,0.00667
2433,-8.8758,0,38,0.4299,0.006021
2434,-9.4192,0,42,0.429,0.005096
2435,-9.72,0,44,0.428,0.005403
2436,-8.59,0,47,0.427,0.005127
2437,-9.5583,0,45,0.4261,0.005748
2438,-8.8808,0,38,0.4253,0.003292
2439,-9.625,0,47,0.4243,0.003884
